loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN-1050,BW-3050,FHA,2023-01-17,2053-01-17,222560,173269,9.436,360,CA,Refinance,C,3-5 years,$0-$50k,Grace Period,20,Apex Servicing,2026-08-01,2026-08-28,,ServicerPortal
LN-1070,BW-3070,Fixed,2020-02-10,2050-02-10,497442,242054,4.003,360,TX,DebtConsolidation,HR,< 1 year,$0-$50k,Late (60-89 days),35,Apex Servicing,2026-08-26,2026-08-28,,ServicerPortal
LN-1075,BW-3075,FHA,2024-01-31,2054-01-31,472770,330182,5.056,360,TX,Purchase,C,< 1 year,$100k-$150k,Late (60-89 days),62,Summit Mortgage,2026-08-21,2026-08-28,,ServicerPortal
LN-1100,BW-3100,Fixed,2021-11-18,2051-11-18,450679,275629,8.406,360,IL,DebtConsolidation,F,< 1 year,$0-$50k,Late (30-59 days),13,Apex Servicing,2026-08-24,2026-08-28,,ServicerPortal
LN-1150,BW-3150,ARM,2023-02-07,2038-02-07,221522,203994,7.298,180,TX,Purchase,F,< 1 year,$0-$50k,Late (60-89 days),24,Apex Servicing,2026-08-17,2026-08-28,,ServicerPortal
LN-1200,BW-3200,Fixed,2022-03-17,2052-03-17,103733,60009,4.022,360,NC,DebtConsolidation,HR,< 1 year,$100k-$150k,Late (30-59 days),14,Apex Servicing,2026-08-21,2026-08-28,,ServicerPortal
LN-1250,BW-3250,FHA,2021-04-11,2051-04-11,390571,224243,5.213,360,GA,Purchase,E,3-5 years,$0-$50k,Grace Period,35,Apex Servicing,2026-08-13,2026-08-28,,ServicerPortal
LN-1300,BW-3300,VA,2023-09-12,2038-09-12,145293,114567,6.244,180,IL,Purchase,C,3-5 years,$100k-$150k,Late (60-89 days),15,Apex Servicing,2026-08-16,2026-08-28,,ServicerPortal
LN-1350,BW-3350,Fixed,2021-09-21,2051-09-21,297749,156120,4.508,360,GA,Refinance,HR,3-5 years,$100k-$150k,Grace Period,31,Apex Servicing,2026-08-12,2026-08-28,,ServicerPortal
LN-1400,BW-3400,ARM,2022-06-06,2052-06-06,163491,114457,4.735,360,FL,Purchase,F,< 1 year,$0-$50k,Late (60-89 days),39,Apex Servicing,2026-08-15,2026-08-28,,ServicerPortal
LN-1450,BW-3450,ARM,2023-09-16,2053-09-16,202671,96632,3.586,360,PA,Purchase,F,5+ years,$100k-$150k,Current,0,Apex Servicing,2026-08-20,2026-08-28,,ServicerPortal
LN-1500,BW-3500,ARM,2023-09-07,2053-09-07,210903,117631,9.469,360,IL,DebtConsolidation,A,1-3 years,$0-$50k,Late (60-89 days),1,Apex Servicing,2026-08-26,2026-08-28,,ServicerPortal
LN-1550,BW-3550,ARM,2022-01-13,2052-01-13,319059,245593,5.243,360,PA,DebtConsolidation,E,< 1 year,$50k-$100k,Late (60-89 days),15,Apex Servicing,2026-08-15,2026-08-28,,ServicerPortal
LN-1600,BW-3600,VA,2024-09-18,2054-09-18,199599,152941,4.385,360,NC,Refinance,A,3-5 years,$50k-$100k,Grace Period,1,Apex Servicing,2026-08-09,2026-08-28,,ServicerPortal
LN-1650,BW-3650,Fixed,2021-07-27,2051-07-27,137041,116693,4.888,360,MI,DebtConsolidation,D,< 1 year,$0-$50k,Late (60-89 days),4,Apex Servicing,2026-07-31,2026-08-28,,ServicerPortal
