loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN-1001,BW-3001,ARM,2022-12-11,2052-12-11,339209,189463,4.201,360,NY,DebtConsolidation,B,5+ years,$50k-$100k,Grace Period,34,Summit Mortgage,2026-08-26,2026-08-27,,OriginationSystem
LN-1002,BW-3002,FHA,2023-07-22,2053-07-22,454773,241693,4.611,360,NC,DebtConsolidation,B,< 1 year,$100k-$150k,Grace Period,35,Apex Servicing,2026-08-20,2026-08-27,,OriginationSystem
LN-1003,BW-3003,Fixed,2023-07-21,2053-07-21,216675,149163,6.742,360,GA,DebtConsolidation,A,3-5 years,$100k-$150k,Late (60-89 days),6,Summit Mortgage,2026-08-16,2026-08-27,,OriginationSystem
LN-1004,BW-3004,ARM,2021-07-14,2051-07-14,332588,278736,5.300,360,IL,Refinance,HR,1-3 years,$50k-$100k,Late (60-89 days),14,Apex Servicing,2026-08-07,2026-08-27,,OriginationSystem
,BW-3005,Fixed,2023-11-18,2053-11-18,455542,324694,8.729,360,NC,Purchase,E,3-5 years,$0-$50k,Late (30-59 days),40,Summit Mortgage,2026-08-21,2026-08-27,,OriginationSystem
LN-1006,BW-3006,FHA,2022-11-22,2052-11-22,432054,258799,3.861,360,OH,Refinance,E,3-5 years,$0-$50k,Current,0,Apex Servicing,2026-08-02,2026-08-27,,OriginationSystem
LN-1007,BW-3007,VA,2020-11-16,2050-11-16,403690,254338,4.468,360,PA,Refinance,B,5+ years,$150k+,Late (30-59 days),27,Summit Mortgage,2026-08-18,2026-08-27,,OriginationSystem
LN-1008,BW-3008,FHA,2024-02-15,2054-02-15,129488,76492,6.902,360,MI,DebtConsolidation,HR,5+ years,$0-$50k,Late (30-59 days),36,Apex Servicing,2026-08-21,2026-08-27,,OriginationSystem
LN-1009,BW-3009,Fixed,2024-04-27,2054-04-27,176431,89102,4.901,360,GA,DebtConsolidation,HR,< 1 year,$0-$50k,Late (30-59 days),9,Summit Mortgage,2026-08-08,2026-08-27,,OriginationSystem
LN-1009,BW-3010,FHA,2023-07-20,2053-07-20,157488,102369,8.969,360,GA,DebtConsolidation,C,3-5 years,$150k+,Grace Period,5,Apex Servicing,2026-08-12,2026-08-27,,OriginationSystem
LN-1011,BW-3011,VA,2022-02-02,2052-02-02,479750,450301,4.852,360,CA,DebtConsolidation,HR,3-5 years,$0-$50k,Late (60-89 days),3,Summit Mortgage,2026-08-07,2026-08-27,,OriginationSystem
LN-1012,BW-3012,ARM,2020-03-06,2035-03-06,474819,305067,4.769,180,GA,Refinance,C,< 1 year,$50k-$100k,Late (30-59 days),3,Apex Servicing,2026-08-11,2026-08-27,,OriginationSystem
LN-1013,BW-3013,Fixed,2020-06-09,2050-06-09,209773,127329,6.679,360,NY,DebtConsolidation,F,1-3 years,$50k-$100k,Late (30-59 days),0,Summit Mortgage,2026-08-23,2026-08-27,,OriginationSystem
LN-1014,BW-3014,FHA,2021-11-22,2051-11-22,242798,159373,4.509,360,TX,DebtConsolidation,D,3-5 years,$100k-$150k,Late (60-89 days),10,Apex Servicing,2026-08-04,2026-08-27,,OriginationSystem
LN-1015,BW-9999,ARM,2023-05-15,2039-04-22,250000,151367,7.711,180,MI,DebtConsolidation,HR,< 1 year,$0-$50k,Late (60-89 days),34,Summit Mortgage,2026-08-08,2026-08-27,,OriginationSystem
LN-1016,BW-9999,VA,2023-05-15,2052-12-26,250000,312269,9.056,360,NY,Purchase,B,3-5 years,$0-$50k,Late (60-89 days),31,Apex Servicing,2026-08-10,2026-08-27,,OriginationSystem
LN-1017,BW-3017,VA,2023-07-15,2053-07-15,164532,144279,5.998,360,TX,Refinance,B,5+ years,$100k-$150k,Grace Period,11,Summit Mortgage,2026-08-08,2026-08-27,,OriginationSystem
