loan_id,document_status
LN-1001,Complete
LN-1002,Complete
LN-1003,Complete
LN-1004,Complete
LN-1005,Complete
LN-1006,Complete
LN-1007,Complete
LN-1008,Complete
LN-1009,Complete
LN-1010,Complete
LN-1011,Complete
LN-1012,Complete
LN-1013,Complete
LN-1014,Missing_Note
LN-1015,Complete
LN-1016,Complete
LN-1017,Complete
LN-1018,Missing_Note
LN-1019,Complete
LN-1020,Complete
LN-1021,Complete
LN-1022,Complete
LN-1023,Complete
LN-1024,Complete
LN-1025,Complete
LN-1026,Complete
LN-1027,Complete
LN-1028,Complete
LN-1029,Complete
LN-1030,Complete
LN-1031,Complete
LN-1032,Complete
LN-1033,Complete
LN-1034,Complete
LN-1035,Complete
LN-1036,Complete
LN-1037,Complete
LN-1038,Complete
LN-1039,Complete
LN-1040,Complete
LN-1041,Missing_Note
LN-1042,Complete
LN-1043,Missing_Note
LN-1044,Complete
LN-1045,Complete
LN-1046,Complete
LN-1047,Complete
LN-1048,Complete
LN-1049,Complete
LN-1050,Complete
LN-1051,Complete
LN-1052,Complete
LN-1053,Complete
LN-1054,Complete
LN-1055,Complete
LN-1056,Complete
LN-1057,Complete
LN-1058,Complete
LN-1059,Complete
LN-1060,Complete
LN-1061,Missing_Note
LN-1062,Complete
LN-1063,Complete
LN-1064,Missing_Note
LN-1065,Missing_Note
LN-1066,Complete
LN-1067,Complete
LN-1068,Complete
LN-1069,Complete
LN-1070,Complete
LN-1071,Complete
LN-1072,Complete
LN-1073,Complete
LN-1074,Complete
LN-1075,Complete
LN-1076,Complete
LN-1077,Complete
LN-1078,Missing_Note
LN-1079,Complete
LN-1080,Complete
LN-1081,Complete
LN-1082,Missing_Note
LN-1083,Complete
LN-1084,Complete
LN-1085,Complete
LN-1086,Complete
LN-1087,Complete
LN-1088,Complete
LN-1089,Complete
LN-1090,Complete
LN-1091,Missing_Note
LN-1092,Complete
LN-1093,Missing_Note
LN-1094,Complete
LN-1095,Complete
LN-1096,Missing_Note
LN-1097,Complete
LN-1098,Complete
LN-1099,Missing_Note
LN-1100,Missing_Note
LN-1101,Complete
LN-1102,Complete
LN-1103,Complete
LN-1104,Complete
LN-1105,Missing_Note
LN-1106,Complete
LN-1107,Complete
LN-1108,Complete
LN-1109,Complete
LN-1110,Complete
LN-1111,Complete
LN-1112,Complete
LN-1113,Complete
LN-1114,Complete
LN-1115,Complete
LN-1116,Complete
LN-1117,Complete
LN-1118,Complete
LN-1119,Complete
LN-1120,Complete
LN-1121,Complete
LN-1122,Missing_Note
LN-1123,Missing_Note
LN-1124,Complete
LN-1125,Complete
LN-1126,Complete
LN-1127,Complete
LN-1128,Complete
LN-1129,Complete
LN-1130,Complete
LN-1131,Complete
LN-1132,Missing_Note
LN-1133,Complete
LN-1134,Complete
LN-1135,Complete
LN-1136,Complete
LN-1137,Complete
LN-1138,Missing_Note
LN-1139,Complete
LN-1140,Complete
LN-1141,Missing_Note
LN-1142,Complete
LN-1143,Complete
LN-1144,Missing_Note
LN-1145,Complete
LN-1146,Complete
LN-1147,Complete
LN-1148,Complete
LN-1149,Complete
LN-1150,Complete
LN-1151,Complete
LN-1152,Complete
LN-1153,Complete
LN-1154,Complete
LN-1155,Complete
LN-1156,Complete
LN-1157,Missing_Note
LN-1158,Complete
LN-1159,Complete
LN-1160,Complete
LN-1161,Complete
LN-1162,Missing_Note
LN-1163,Complete
LN-1164,Complete
LN-1165,Complete
LN-1166,Complete
LN-1167,Missing_Note
LN-1168,Missing_Note
LN-1169,Complete
LN-1170,Complete
LN-1171,Complete
LN-1172,Complete
LN-1173,Complete
LN-1174,Complete
LN-1175,Complete
LN-1176,Complete
LN-1177,Complete
LN-1178,Complete
LN-1179,Complete
LN-1180,Complete
LN-1181,Complete
LN-1182,Missing_Note
LN-1183,Complete
LN-1184,Complete
LN-1185,Complete
LN-1186,Complete
LN-1187,Complete
LN-1188,Complete
LN-1189,Complete
LN-1190,Missing_Note
LN-1191,Complete
LN-1192,Complete
LN-1193,Complete
LN-1194,Complete
LN-1195,Complete
LN-1196,Complete
LN-1197,Complete
LN-1198,Complete
LN-1199,Complete
LN-1200,Complete
LN-1201,Complete
LN-1202,Complete
LN-1203,Complete
LN-1204,Complete
LN-1205,Complete
LN-1206,Complete
LN-1207,Complete
LN-1208,Missing_Note
LN-1209,Complete
LN-1210,Complete
LN-1211,Complete
LN-1212,Complete
LN-1213,Complete
LN-1214,Complete
LN-1215,Complete
LN-1216,Complete
LN-1217,Missing_Note
LN-1218,Missing_Note
LN-1219,Complete
LN-1220,Complete
LN-1221,Missing_Note
LN-1222,Complete
LN-1223,Complete
LN-1224,Complete
LN-1225,Complete
LN-1226,Complete
LN-1227,Complete
LN-1228,Complete
LN-1229,Complete
LN-1230,Complete
LN-1231,Complete
LN-1232,Complete
LN-1233,Complete
LN-1234,Complete
LN-1235,Complete
LN-1236,Complete
LN-1237,Missing_Note
LN-1238,Missing_Note
LN-1239,Complete
LN-1240,Complete
LN-1241,Complete
LN-1242,Complete
LN-1243,Complete
LN-1244,Complete
LN-1245,Complete
LN-1246,Missing_Note
LN-1247,Complete
LN-1248,Complete
LN-1249,Complete
LN-1250,Missing_Note
LN-1251,Complete
LN-1252,Complete
LN-1253,Complete
LN-1254,Complete
LN-1255,Complete
LN-1256,Complete
LN-1257,Complete
LN-1258,Complete
LN-1259,Complete
LN-1260,Complete
LN-1261,Missing_Note
LN-1262,Complete
LN-1263,Missing_Note
LN-1264,Complete
LN-1265,Complete
LN-1266,Complete
LN-1267,Complete
LN-1268,Complete
LN-1269,Complete
LN-1270,Complete
LN-1271,Complete
LN-1272,Complete
LN-1273,Missing_Note
LN-1274,Complete
LN-1275,Complete
LN-1276,Complete
LN-1277,Complete
LN-1278,Complete
LN-1279,Complete
LN-1280,Complete
LN-1281,Complete
LN-1282,Complete
LN-1283,Complete
LN-1284,Complete
LN-1285,Complete
LN-1286,Complete
LN-1287,Complete
LN-1288,Complete
LN-1289,Complete
LN-1290,Complete
LN-1291,Complete
LN-1292,Complete
LN-1293,Complete
LN-1294,Complete
LN-1295,Complete
LN-1296,Complete
LN-1297,Complete
LN-1298,Complete
LN-1299,Missing_Note
LN-1300,Complete
LN-1301,Complete
LN-1302,Complete
LN-1303,Complete
LN-1304,Complete
LN-1305,Complete
LN-1306,Complete
LN-1307,Missing_Note
LN-1308,Complete
LN-1309,Complete
LN-1310,Missing_Note
LN-1311,Complete
LN-1312,Complete
LN-1313,Complete
LN-1314,Missing_Note
LN-1315,Complete
LN-1316,Complete
LN-1317,Complete
LN-1318,Complete
LN-1319,Complete
LN-1320,Complete
LN-1321,Complete
LN-1322,Complete
LN-1323,Complete
LN-1324,Complete
LN-1325,Missing_Note
LN-1326,Complete
LN-1327,Complete
LN-1328,Complete
LN-1329,Complete
LN-1330,Complete
LN-1331,Complete
LN-1332,Complete
LN-1333,Complete
LN-1334,Complete
LN-1335,Complete
LN-1336,Complete
LN-1337,Complete
LN-1338,Complete
LN-1339,Complete
LN-1340,Complete
LN-1341,Complete
LN-1342,Missing_Note
LN-1343,Complete
LN-1344,Complete
LN-1345,Complete
LN-1346,Complete
LN-1347,Complete
LN-1348,Complete
LN-1349,Complete
LN-1350,Complete
LN-1351,Complete
LN-1352,Missing_Note
LN-1353,Complete
LN-1354,Complete
LN-1355,Complete
LN-1356,Complete
LN-1357,Complete
LN-1358,Missing_Note
LN-1359,Complete
LN-1360,Complete
LN-1361,Missing_Note
LN-1362,Missing_Note
LN-1363,Complete
LN-1364,Complete
LN-1365,Complete
LN-1366,Missing_Note
LN-1367,Complete
LN-1368,Complete
LN-1369,Complete
LN-1370,Complete
LN-1371,Complete
LN-1372,Missing_Note
LN-1373,Missing_Note
LN-1374,Complete
LN-1375,Missing_Note
LN-1376,Complete
LN-1377,Missing_Note
LN-1378,Complete
LN-1379,Complete
LN-1380,Complete
LN-1381,Complete
LN-1382,Complete
LN-1383,Complete
LN-1384,Missing_Note
LN-1385,Complete
LN-1386,Complete
LN-1387,Complete
LN-1388,Complete
LN-1389,Complete
LN-1390,Complete
LN-1391,Complete
LN-1392,Complete
LN-1393,Complete
LN-1394,Complete
LN-1395,Complete
LN-1396,Missing_Note
LN-1397,Complete
